date,crypto_price,energy_used
2021-07-30,51.307907,86825.5087
2021-07-31,52.200218,85895.17181
2021-08-01,53.937824,81233.02039
2021-08-02,54.483311,81695.13189
2021-08-03,54.177982,81601.7118
2021-08-04,56.454807,83725.57589
2021-08-05,57.844742,85519.82849
2021-08-06,64.126648,85155.14777
2021-08-07,69.249519,80124.45166
2021-08-08,64.46962,85703.34271
2021-08-09,67.768356,86481.85973
2021-08-10,66.718857,87284.83228
2021-08-11,71.951958,87461.35222
2021-08-12,68.313103,90548.42142
2021-08-13,74.523773,84483.79484
2021-08-14,72.532333,81123.89986
2021-08-15,73.186211,80541.80957
2021-08-16,73.489769,84764.54421
2021-08-17,69.557838,89694.23902
2021-08-18,67.577591,88157.11176
2021-08-19,70.448517,89346.57934
2021-08-20,73.149849,91870.73139
2021-08-21,78.196701,92167.76813
2021-08-22,77.239769,87360.2531
2021-08-23,79.983803,87329.14568
2021-08-24,74.424599,90843.74628
2021-08-25,76.393562,90249.23259
2021-08-26,72.440079,93065.97047
2021-08-27,75.150642,97151.7542
2021-08-28,73.950935,95421.03705
2021-08-29,73.672806,93212.11666
2021-08-30,71.132118,96554.94169
2021-08-31,75.947006,95178.58502
2021-09-01,78.735229,94226.72727
2021-09-02,77.444252,97577.81827
2021-09-03,77.744698,100287.1475
2021-09-04,94.900063,96129.80693
2021-09-05,113.604744,93962.46092
2021-09-06,106.24044,91440.99899
2021-09-07,83.971397,88199.8111
2021-09-08,88.206604,94311.9303
2021-09-09,88.571609,97729.78487
2021-09-10,82.488327,101116.0429
2021-09-11,81.744705,100734.0477
2021-09-12,83.781456,95029.16179
2021-09-13,78.252686,96566.43578
2021-09-14,80.841232,97081.61577
2021-09-15,86.353867,99273.95531
2021-09-16,84.733452,99415.89515
2021-09-17,85.703537,98919.98611
2021-09-18,84.357841,97049.57903
2021-09-19,83.519791,97107.63644
2021-09-20,74.071091,95763.26759
2021-09-21,69.445244,94437.24039
2021-09-22,74.583542,94456.12005
2021-09-23,74.838516,96554.94169
2021-09-24,63.301563,95787.96767
2021-09-25,60.451473,93809.41828
2021-09-26,55.733105,89160.91304
2021-09-27,59.123135,88783.90674
2021-09-28,55.437572,89487.2475
2021-09-29,57.068401,92596.9136
2021-09-30,60.012264,94884.3362
2021-10-01,71.518196,92518.36247
2021-10-02,69.962685,89420.53284
2021-10-03,69.079216,89419.45679
2021-10-04,69.53907,90062.19677
2021-10-05,70.963654,86932.62388
2021-10-06,71.891983,82690.32482
2021-10-07,71.455704,75552.63893
2021-10-08,79.360229,76784.31674
2021-10-09,76.709297,79127.54685
2021-10-10,69.883102,78079.38326
2021-10-11,73.247536,77212.72854
2021-10-12,69.774307,73852.44227
2021-10-13,68.278465,73128.99908
2021-10-14,70.281784,69029.27571
2021-10-15,67.232613,70272.8389
2021-10-16,66.516518,70381.76378
2021-10-17,63.418892,66239.24325
2021-10-18,63.392326,60945.50357
2021-10-19,62.967365,61468.4115
2021-10-20,66.841316,61464.69426
2021-10-21,63.603432,58064.64331
2021-10-22,65.844147,59307.47284
2021-10-23,64.856743,60115.8256
2021-10-24,62.65847,59251.37188
2021-10-25,63.924484,56609.93116
2021-10-26,62.827206,53627.43377
2021-10-27,55.309811,59739.89534
2021-10-28,58.174435,58780.94549
2021-10-29,59.851173,59789.34441
2021-10-30,60.741985,57385.07332
2021-10-31,64.410339,53124.43263
2021-11-01,63.927395,52733.68233
2021-11-02,64.783234,53673.99708
2021-11-03,64.055214,58414.45507
2021-11-04,62.52943,58792.97761
2021-11-05,63.658596,56488.09376
2021-11-06,61.931377,54353.46924
2021-11-07,62.594185,49940.86195
2021-11-08,64.351021,50939.82103
2021-11-09,66.751205,51833.57246
2021-11-10,63.600456,52169.83586
2021-11-11,63.03603,51800.31295
2021-11-12,62.794655,51269.92164
2021-11-13,63.029873,50409.33189
2021-11-14,62.564407,46052.92338
2021-11-15,60.822262,45636.00567
2021-11-16,56.239548,44881.99308
2021-11-17,56.160442,48303.12468
2021-11-18,51.763981,52153.10829
2021-11-19,53.799706,51244.73245
2021-11-20,54.375874,52431.50993
2021-11-21,53.286945,50413.19586
2021-11-22,51.748146,45263.5481
2021-11-23,51.761379,41959.31388
2021-11-24,50.70396,38219.03774
2021-11-25,50.109303,42867.54299
2021-11-26,52.481216,41545.67322
2021-11-27,57.807198,47403.69957
2021-11-28,56.495411,42726.2879
2021-11-29,54.815617,43409.23275
2021-11-30,53.763393,40729.69034
2021-12-01,54.385078,40228.93911
2021-12-02,53.673012,40817.6813
2021-12-03,49.65546,40180.71283
2021-12-04,41.074883,39812.95072
2021-12-05,39.081219,39157.29823
2021-12-06,38.896427,40717.26694
2021-12-07,39.210144,41858.85061
2021-12-08,41.420074,42633.94386
2021-12-09,37.542099,41785.82643
2021-12-10,39.924099,41755.35485
2021-12-11,40.378727,40987.64716
2021-12-12,39.795551,38773.64003
2021-12-13,35.89093,40365.15636
2021-12-14,36.509487,39442.79197
2021-12-15,38.226669,41498.42515
2021-12-16,37.214424,38496.80354
2021-12-17,35.692127,40111.21024
2021-12-18,36.292023,39932.88059
2021-12-19,35.79224,40100.35199
2021-12-20,34.783512,41968.31352
2021-12-21,35.312775,44361.77526
2021-12-22,35.601234,45337.0614
2021-12-23,37.352356,45666.2327
2021-12-24,36.326519,46066.81411
2021-12-25,36.997223,42048.4298
2021-12-26,37.290997,42360.58006
2021-12-27,39.149315,41398.10861
2021-12-28,36.28783,41077.15437
2021-12-29,34.1731,40735.85313
2021-12-30,34.972874,39204.69302
2021-12-31,34.270481,37513.20253
2022-01-01,35.854889,37165.49394
2022-01-02,35.792622,38022.65992
2022-01-03,35.020367,36760.95073
2022-01-04,36.098606,36144.67163
2022-01-05,33.258137,37187.74847
2022-01-06,32.994217,37960.5429
2022-01-07,31.459591,38835.75705
2022-01-08,29.43952,37864.77508
2022-01-09,30.23494,38572.12654
2022-01-10,28.169619,39375.24582
2022-01-11,28.88755,38919.98186
2022-01-12,30.771364,39741.9808
2022-01-13,28.467012,38359.65698
2022-01-14,29.802885,38416.19815
2022-01-15,29.783924,39531.46768
2022-01-16,30.413492,36106.03191
2022-01-17,29.019115,35391.29488
2022-01-18,28.516174,36665.08509
2022-01-19,27.63147,37045.75972
2022-01-20,26.141457,35768.30117
2022-01-21,21.872448,39084.27404
2022-01-22,18.959282,39215.79583
2022-01-23,19.455969,39689.49925
2022-01-24,18.413218,40341.67906
2022-01-25,18.14986,41397.37495
2022-01-26,19.307182,41529.6304
2022-01-27,19.221661,41948.06435
2022-01-28,19.622816,42296.21313
2022-01-29,20.220657,42864.41268
2022-01-30,19.83703,42448.76666
2022-01-31,21.322905,40901.95502
2022-02-01,20.914812,37724.79169
2022-02-02,20.183401,35878.59557
2022-02-03,20.316822,34576.33913
2022-02-04,21.617502,32850.90437
2022-02-05,22.016569,33050.46142
2022-02-06,22.44775,31738.08039
2022-02-07,24.404755,35090.19852
2022-02-08,24.596313,34693.48107
2022-02-09,24.269861,35939.34308
2022-02-10,23.179502,33301.86416
2022-02-11,21.037802,37223.40461
2022-02-12,20.850382,35309.95582
2022-02-13,20.664286,35968.39624
2022-02-14,20.727551,33489.24235
2022-02-15,22.342148,34559.70938
2022-02-16,23.083826,34837.03497
2022-02-17,20.481836,37667.7125
2022-02-18,21.160259,36962.80659
2022-02-19,20.877937,37476.61707
2022-02-20,19.838818,36723.63161
2022-02-21,18.600885,34977.06728
2022-02-22,19.213531,36466.89756
2022-02-23,18.488123,36562.51864
2022-02-24,18.426636,35273.81056
2022-02-25,18.921919,35664.12066
2022-02-26,19.07542,33591.27078
2022-02-27,20.347237,31941.40358
2022-02-28,21.672407,25630.60774
2022-03-01,20.935631,26758.74087
2022-03-02,20.683947,32714.63821
2022-03-03,20.141827,40319.47345
2022-03-04,18.778595,41593.99733
2022-03-05,19.108639,39826.05888
2022-03-06,18.389894,40542.06759
2022-03-07,17.887239,41736.27954
2022-03-08,18.003202,41760.93071
2022-03-09,18.826591,41627.15901
2022-03-10,17.884068,41581.9163
2022-03-11,17.403709,42152.02338
2022-03-12,17.736349,41593.80168
2022-03-13,17.265333,41135.7987
2022-03-14,17.470867,40596.84795
2022-03-15,16.848886,40853.09289
2022-03-16,17.42931,42413.35507
2022-03-17,17.461836,45577.11678
2022-03-18,17.628176,48566.02152
2022-03-19,18.193796,47077.80531
2022-03-20,17.628698,47356.15804
2022-03-21,17.835012,46866.85199
2022-03-22,18.295139,46503.49188
2022-03-23,19.354261,48975.50475
2022-03-24,19.582233,49269.16663
2022-03-25,18.854961,52170.96082
2022-03-26,19.422392,51420.66546
2022-03-27,23.679474,50367.07275
2022-03-28,25.081484,51027.37179
2022-03-29,26.436857,52603.43223
2022-03-30,25.859909,52254.94107
2022-03-31,24.253956,52857.23162
2022-04-01,25.516237,52034.40119
2022-04-02,23.913689,51488.55399
2022-04-03,25.449072,48885.60626
2022-04-04,25.233622,46500.16593
2022-04-05,24.874647,44801.53442
2022-04-06,21.664864,45922.86892
2022-04-07,22.4604,46444.35843
2022-04-08,21.260263,46294.83738
2022-04-09,21.71946,46737.5312
2022-04-10,21.097212,46694.73404
2022-04-11,18.275814,45611.94144
2022-04-12,19.47014,44635.09015
2022-04-13,19.419378,43782.17943
2022-04-14,18.673882,45441.38864
2022-04-15,19.071894,47437.44819
2022-04-16,21.649694,47343.97919
2022-04-17,19.733658,46695.17424
2022-04-18,19.627514,44289.19128
2022-04-19,20.391369,45986.35545
2022-04-20,19.629992,46852.12977
2022-04-21,18.875776,45810.2268
2022-04-22,19.241552,47691.44322
2022-04-23,18.940601,46412.02823
2022-04-24,18.891369,44195.77119
2022-04-25,18.644262,46424.45164
2022-04-26,17.277328,46661.81691
2022-04-27,17.72123,46264.12125
2022-04-28,18.11351,48111.73578
2022-04-29,17.309917,46732.49337
2022-04-30,14.330068,45992.42042
2022-05-01,15.133082,45925.36339
2022-05-02,14.628806,44070.36328
2022-05-03,14.619692,44461.11358
2022-05-04,15.689732,44818.75111
2022-05-05,13.982954,45440.26369
2022-05-06,13.868735,50090.08953
2022-05-07,13.2646,51377.67266
2022-05-08,13.092666,50430.46146
2022-05-09,11.128685,49511.32519
2022-05-10,11.341857,49568.9424
2022-05-11,8.546657,50692.28225
2022-05-12,8.117062,48917.64299
2022-05-13,8.730104,48115.74649
2022-05-14,8.81534,46003.37649
2022-05-15,9.169947,45514.36392
2022-05-16,8.270936,48376.83362
2022-05-17,8.575018,48026.87513
2022-05-18,7.574566,46661.08325
2022-05-19,8.22061,45667.50438
2022-05-20,7.935034,45273.08576
2022-05-21,8.17425,45692.20446
2022-05-22,8.470877,44263.70862
2022-05-23,8.147724,45118.57578
2022-05-24,8.411102,44100.10119
2022-05-25,8.168031,42773.2425
2022-05-26,7.650799,30404.71653
2022-05-27,7.197633,43767.11483
2022-05-28,7.539351,44728.99935
2022-05-29,7.626446,42834.43021
2022-05-30,8.202182,42970.74528
2022-05-31,8.068273,43914.28815
2022-06-01,7.448825,42186.16329
2022-06-02,7.757703,43755.66965
2022-06-03,7.398786,42291.02856
2022-06-04,7.458556,40227.08049
