date,storageCapacity,storageCapacityAdded,cumulativeRenewableEnergyPurchase,energyIntensityEstimate,energyConsumptionRateEstimate,energyUsedSealDataEstimate,cumulativeEnergyUseEstimate,energyUsedStoreDataEstimate,close,volume
2020-12-28,1911663569,17677408,51803846.73,29.25689905,52088.26444,27019.38781,124377116.1,6157.850688,22.013369,165104609
2020-12-29,1929856846,18506112,52090092.72,30.13872597,54168.91225,28286.03701,125677171.1,6216.454872,20.437702,227519524
2020-12-30,1948283209,18208704,52376338.71,29.5117093,53548.41025,27831.4578,126962333.9,6275.809873,21.641243,231979518
2020-12-31,1966270333,17913440,52662584.7,28.90449343,52930.83184,27380.15564,128232674.9,6333.749997,24.353868,385327102
2021-01-01,1984233164,18242560,55599815.12,29.11936968,53811.46356,27883.20568,129524151.1,6391.611868,22.29101,348030664
2021-01-02,2003116721,18964896,58537045.53,29.82520769,55640.35125,28987.27459,130859520.5,6452.439582,21.808891,243646888
2021-01-03,2021526214,18193920,61474275.95,28.62035597,53883.34379,27808.8609,132152721.8,6511.740241,21.426378,272432560
2021-01-04,2039834225,18607808,65391643.12,28.93502943,54969.13877,28441.47629,133471982.2,6570.714006,21.467407,312309245
2021-01-05,2058462939,18439936,69309010.29,28.51218343,54660.50738,28184.88898,134783835.4,6630.720819,21.632771,213135095
2021-01-06,2076833910,18281344,73226377.46,28.11124855,54372.84171,27942.48586,136088784.6,6689.897391,21.969751,201738931
2021-01-07,2095088032,17979488,77143744.63,27.54239351,53740.79478,27481.10802,137378564.7,6748.697569,22.107826,225642789
2021-01-08,2112947090,18090592,81061111.8,27.49098387,54097.72914,27650.92715,138676911.2,6806.225166,21.662432,154943100
2021-01-09,2131213172,18358144,84978478.97,27.62537948,54832.14988,28059.87236,139992883.9,6865.06387,22.114525,149399606
2021-01-10,2150012480,18923392,88895846.14,28.10872363,56283.64776,28923.83697,141343692.5,6925.620201,23.497114,452076685
2021-01-11,2168704435,18971296,92813213.31,27.97017387,56493.13341,28997.0568,142699528.7,6985.830726,21.613977,354889532
2021-01-12,2187834439,19144896,96730580.48,27.97754098,57006.46683,29262.39919,144067685,7047.452295,21.034431,182775071
2021-01-13,2206939507,18912768,100647947.7,27.51133783,56546.04951,28907.5985,145424791.2,7108.99354,21.687958,154682913
2021-01-14,2225976863,19344416,104565314.8,27.82214171,57678.15163,29567.35952,146809068,7170.316671,21.560232,137668105
2021-01-15,2245313183,19142336,108482682,27.3974045,57291.00994,29258.48631,148184053.3,7232.602825,21.527254,182172131
2021-01-16,2265146129,20634656,112400049.2,28.90261478,60972.42795,31539.45266,149647392.7,7296.488711,22.849653,406855509
2021-01-17,2285246578,19124320,116317416.3,26.99322694,57449.7315,29230.94939,151026187.3,7361.236277,24.351658,712570771
2021-01-18,2304649891,20190016,120234783.5,28.00315828,60105.20802,30859.83376,152468713.5,7423.738229,23.729397,351317651
2021-01-19,2325004826,20307968,124152150.7,27.93625562,60491.19787,31040.11985,153920503.3,7489.305546,22.736326,324184872
2021-01-20,2344871058,19759968,128069517.8,27.14341131,59276.6326,30202.51829,155343143.6,7553.298652,22.374847,301437883
2021-01-21,2364823282,20399872,131986885,27.65743956,60913.11295,31180.59236,156805059.5,7617.568756,21.293459,229588791
2021-01-22,2386346249,21970240,135904252.2,29.15257145,64790.36949,33580.85273,158360029.6,7686.898537,22.306198,435403380
2021-01-23,2408157430,21921952,139821619.4,28.88604646,64784.79822,33507.04597,159914866,7757.156714,22.707294,332639527
2021-01-24,2430146342,22041920,143738986.5,28.80100965,65183.88935,33690.41346,161479280.6,7827.987397,22.759356,241523529
2021-01-25,2452413803,22583136,147656353.7,29.15744185,66595.25712,34517.64588,163077568,7899.715342,22.437037,196122208
2021-01-26,2475029803,22533312,151573720.9,28.88876055,66590.07011,34441.49139,164675730.9,7972.566001,22.19121,178373502
2021-01-27,2497778805,23312256,155491088,29.47864957,68574.34855,35632.08393,166321516.6,8045.845087,21.462456,229177546
2021-01-28,2521040737,22655232,159408455.2,28.58523369,67115.33164,34627.84246,167932285.8,8120.776422,21.947098,155498148
2021-01-29,2543866087,23326944,163325822.4,29.05784088,68842.67179,35654.5341,169584511.3,8194.301439,22.275328,280008127
2021-01-30,2567411706,23625408,167243189.6,29.14069165,69677.97211,36110.72737,171256783.9,8270.146587,22.059891,162578510
