date,close,high,low,filecoin_volume,energy_used
2020-11-19,28.700035,29.208202,28.4557,96975839,26938.19548
2020-11-20,29.099771,29.786249,28.696938,124609578,25779.93314
2020-11-21,29.902411,30.835499,28.852736,172080145,28483.05068
2020-11-22,29.709885,30.138031,28.722635,131925461,26139.38037
2020-11-23,29.206049,30.164923,28.9429,113525150,25500.16199
2020-11-24,30.162628,31.436884,27.716904,196683760,15090.57208
2020-11-25,30.973227,39.666031,29.805246,377442086,25970.97966
2020-11-26,29.928549,31.980043,29.04538,270925520,30672.50447
2020-11-27,29.921663,30.967293,29.460123,137123750,28652.57634
2020-11-28,29.986433,30.332893,29.760607,110505099,26800.55981
2020-11-29,30.012173,30.157219,29.827217,97053742,28928.48352
2020-11-30,30.37175,30.808462,30.016815,143409253,27948.4041
2020-12-01,30.226955,31.737398,30.026766,178485785,28265.00526
2020-12-02,30.605064,31.136389,30.203869,136396725,27974.0824
2020-12-03,30.502073,30.831814,30.354656,116439920,27008.38282
2020-12-04,29.122169,30.543692,29.011465,140952119,32313.86115
2020-12-05,29.878197,30.147144,29.029507,111381414,27258.07368
2020-12-06,29.360336,30.064278,29.12097,111233423,28309.56322
2020-12-07,30.49172,32.478149,29.351929,232541218,28344.09441
2020-12-08,29.977901,30.893652,29.8335,180953602,28033.50931
2020-12-09,30.498098,31.341852,29.782593,251786320,28573.58501
2020-12-10,30.606852,32.312885,30.494238,345738743,30046.93227
2020-12-11,30.012934,30.707474,30.004892,296349090,28352.11582
2020-12-12,30.068363,30.32674,29.996895,185606985,28645.97335
2020-12-13,30.087234,30.357189,30.011465,201700286,28302.61785
2020-12-14,29.442978,30.187302,29.164658,230496134,27778.43824
2020-12-15,29.191568,29.746307,29.134399,233119953,27939.64902
2020-12-16,28.56122,29.414185,28.048153,289096533,27563.37639
2020-12-17,28.563356,29.432255,28.407888,346224103,27712.65289
2020-12-18,28.489697,28.821077,28.437517,190473377,27329.14142
2020-12-19,28.299299,28.848909,28.161554,212143039,20725.46627
2020-12-20,28.348827,28.455423,27.98838,199569773,27335.54877
2020-12-21,25.221773,28.352324,25.082457,303816853,26559.28165
2020-12-22,24.674934,25.42395,24.461023,346795531,27283.89871
2020-12-23,22.332573,24.979376,21.515953,242924534,26940.34757
2020-12-24,23.753868,24.331837,22.117668,248621985,27135.06242
2020-12-25,24.356476,24.454582,23.215836,269726372,28038.15586
2020-12-26,23.564009,24.353022,23.46484,130688584,27490.25439
2020-12-27,22.268867,23.635403,22.268867,201119219,28303.79172
2020-12-28,22.013369,23.075165,21.989799,165104609,27019.38781
2020-12-29,20.437702,22.197632,20.046017,227519524,28286.03701
2020-12-30,21.641243,21.930559,20.277166,231979518,27831.4578
2020-12-31,24.353868,26.061388,21.123873,385327102,27380.15564
2021-01-01,22.29101,24.958113,22.023264,348030664,27883.20568
2021-01-02,21.808891,23.133966,21.432627,243646888,28987.27459
2021-01-03,21.426378,21.873875,21.029001,272432560,27808.8609
2021-01-04,21.467407,22.923031,21.01149,312309245,28441.47629
2021-01-05,21.632771,22.291952,21.060802,213135095,28184.88898
2021-01-06,21.969751,22.529005,21.604843,201738931,27942.48586
2021-01-07,22.107826,22.883968,21.892733,225642789,27481.10802
2021-01-08,21.662432,22.296354,21.337126,154943100,27650.92715
2021-01-09,22.114525,22.632336,21.414545,149399606,28059.87236
2021-01-10,23.497114,24.23144,22.107477,452076685,28923.83697
2021-01-11,21.613977,23.497478,20.956245,354889532,28997.0568
2021-01-12,21.034431,21.934193,21.00462,182775071,29262.39919
2021-01-13,21.687958,21.89739,21.002251,154682913,28907.5985
2021-01-14,21.560232,22.242489,21.416941,137668105,29567.35952
2021-01-15,21.527254,22.157183,21.345694,182172131,29258.48631
2021-01-16,22.849653,24.936316,21.53109,406855509,31539.45266
2021-01-17,24.351658,25.997471,22.477554,712570771,29230.94939
